#CTMC
23
100000	100000	600000	800000	600000	100000	700000	200000	700000	800000	500000	500000	800000	800000	900000	0	700000	500000	0	900000	800000	300000	-11400000
#DTMC
#0,1556	0,0370	0,0519	0,0519	0,0074	0,0222	0,0296	0,0148	0,0519	0,0370	0,0519	0,0519	0,0593	0,0667	0,0444	0,0000	0,0667	0,0074	0,0519	0,0222	0,0444	0,0222	0,0519
#0,0074	0,3556	0,0593	0,0519	0,0148	0,0074	0,0296	0,0444	0,0593	0,0296	0,0296	0,0000	0,0667	0,0000	0,0074	0,0148	0,0148	0,0296	0,0667	0,0370	0,0222	0,0296	0,0222
#0,0000	0,0074	0,2519	0,0444	0,0370	0,0296	0,0667	0,0370	0,0593	0,0370	0,0222	0,0519	0,0074	0,0000	0,0370	0,0000	0,0519	0,0667	0,0148	0,0148	0,0519	0,0667	0,0444
#0,0593	0,0667	0,0148	0,2741	0,0593	0,0667	0,0148	0,0222	0,0370	0,0296	0,0148	0,0000	0,0074	0,0667	0,0667	0,0370	0,0444	0,0074	0,0074	0,0148	0,0074	0,0148	0,0667
#0,0000	0,0148	0,0074	0,0667	0,3704	0,0000	0,0593	0,0444	0,0296	0,0000	0,0222	0,0296	0,0296	0,0074	0,0593	0,0074	0,0370	0,0667	0,0593	0,0074	0,0222	0,0444	0,0148
#0,0667	0,0519	0,0519	0,0296	0,0519	0,2815	0,0074	0,0222	0,0000	0,0667	0,0667	0,0444	0,0000	0,0370	0,0074	0,0593	0,0519	0,0000	0,0519	0,0148	0,0074	0,0074	0,0222
#0,0296	0,0667	0,0667	0,0667	0,0667	0,0667	0,0000	0,0593	0,0222	0,0519	0,0148	0,0667	0,0519	0,0593	0,0000	0,0296	0,0667	0,0667	0,0370	0,0074	0,0000	0,0370	0,0667
#0,0519	0,0222	0,0074	0,0519	0,0222	0,0148	0,0593	0,2741	0,0444	0,0000	0,0667	0,0444	0,0222	0,0074	0,0593	0,0370	0,0667	0,0370	0,0000	0,0148	0,0296	0,0296	0,0370
#0,0667	0,0296	0,0370	0,0370	0,0222	0,0296	0,0444	0,0667	0,3185	0,0593	0,0222	0,0000	0,0148	0,0444	0,0296	0,0148	0,0370	0,0148	0,0148	0,0222	0,0000	0,0593	0,0148
#0,0370	0,0222	0,0222	0,0296	0,0296	0,0444	0,0593	0,0370	0,0000	0,3259	0,0370	0,0148	0,0444	0,0074	0,0667	0,0222	0,0074	0,0074	0,0593	0,0593	0,0074	0,0519	0,0074
#0,0000	0,0074	0,0000	0,0000	0,0000	0,0222	0,0074	0,0222	0,0519	0,0593	0,2963	0,0593	0,0519	0,0370	0,0148	0,0593	0,0593	0,0444	0,0370	0,0593	0,0519	0,0370	0,0222
#0,0222	0,0148	0,0000	0,0593	0,0222	0,0593	0,0074	0,0296	0,0148	0,0000	0,0444	0,2963	0,0519	0,0074	0,0519	0,0519	0,0444	0,0444	0,0667	0,0074	0,0296	0,0519	0,0222
#0,0000	0,0222	0,0370	0,0667	0,0593	0,0148	0,0370	0,0222	0,0296	0,0667	0,0000	0,0296	0,2148	0,0593	0,0519	0,0370	0,0370	0,0296	0,0444	0,0593	0,0519	0,0222	0,0074
#0,0074	0,0370	0,0667	0,0370	0,0444	0,0148	0,0593	0,0444	0,0222	0,0593	0,0593	0,0148	0,0222	0,1111	0,0222	0,0519	0,0593	0,0519	0,0370	0,0667	0,0222	0,0519	0,0370
#0,0074	0,0667	0,0370	0,0519	0,0519	0,0593	0,0074	0,0593	0,0370	0,0519	0,0519	0,0593	0,0000	0,0370	0,2074	0,0148	0,0074	0,0519	0,0074	0,0148	0,0148	0,0444	0,0593
#0,0000	0,0444	0,0444	0,0074	0,0222	0,0000	0,0000	0,0074	0,0667	0,0148	0,0519	0,0593	0,0519	0,0444	0,0444	0,2889	0,0074	0,0074	0,0667	0,0370	0,0667	0,0000	0,0667
#0,0148	0,0074	0,0444	0,0296	0,0148	0,0000	0,0074	0,0667	0,0593	0,0667	0,0222	0,0593	0,0000	0,0667	0,0370	0,0148	0,3704	0,0519	0,0148	0,0000	0,0074	0,0000	0,0444
#0,0370	0,0296	0,0593	0,0370	0,0593	0,0444	0,0222	0,0148	0,0519	0,0593	0,0593	0,0444	0,0370	0,0667	0,0222	0,0444	0,0074	0,1333	0,0222	0,0222	0,0593	0,0074	0,0593
#0,0148	0,0519	0,0667	0,0444	0,0593	0,0148	0,0222	0,0000	0,0222	0,0000	0,0074	0,0667	0,0370	0,0148	0,0000	0,0222	0,0370	0,0222	0,3778	0,0074	0,0593	0,0370	0,0148
#0,0667	0,0444	0,0593	0,0667	0,0667	0,0370	0,0519	0,0519	0,0222	0,0444	0,0148	0,0148	0,0370	0,0667	0,0667	0,0296	0,0074	0,0222	0,0593	0,1185	0,0074	0,0148	0,0296
#0,0667	0,0519	0,0148	0,0074	0,0519	0,0519	0,0370	0,0148	0,0593	0,0222	0,0296	0,0519	0,0667	0,0074	0,0222	0,0074	0,0370	0,0074	0,0370	0,0370	0,2296	0,0296	0,0593
#0,0370	0,0519	0,0148	0,0296	0,0148	0,0296	0,0370	0,0296	0,0074	0,0370	0,0000	0,0444	0,0667	0,0370	0,0667	0,0370	0,0000	0,0593	0,0148	0,0667	0,0370	0,2593	0,0222
#0,0074	0,0074	0,0444	0,0593	0,0444	0,0074	0,0519	0,0148	0,0519	0,0593	0,0370	0,0370	0,0593	0,0593	0,0667	0,0000	0,0519	0,0370	0,0000	0,0667	0,0593	0,0222	0,1556
#resposta
#0,030523114
#0,049253669
#0,044695642
#0,054886733
#0,054939467
#0,038321154
#0,031447067
#0,044363458
#0,050199918
#0,052631686
#0,043602272
#0,050280937
#0,041717987
#0,037408947
#0,046920654
#0,036102123
#0,053822026
#0,037498461
#0,052457695
#0,031749057
#0,036425992
#0,041388832
#0,039363111

